Codigo;NomeBarragem;NomeEmpreendedor;CpfCnpjFormatado;LatitudeFormatada;LongitudeFormatada;CoordenadaSIRGAFormatado;Municipio;UF;Minerio;Altura;VolumeAtualFormatado;MetodoConstrutivoFormatado;CategoriaRisco;DanoPotencial;GestaoOperacional;InseridaPNSBFormatada;SituacaoNivelEmergencial;SituacaoDeclaracaoCondicaoEstabilidade;SituacaoDeclaracaoCondicaoEstabilidadeRPSB;SituacaoDeclaracaoConformidadeOperacionalidade;SituacaoOperacionalFormatado;StatusEmbargo
8620;3 Mina;VALE S.A.;33.592.510/0001-54;-06°23'39.900";-50°19'11.300";Sul do Equador;CANAÃ DOS CARAJÁS;PA;-;14,61;84.105,00;0 - Etapa única;Baixo;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
8673;30-1;MINERACAO TABOCA S A;34.019.992/0001-10;-00°42'25.600";-60°11'33.100";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;-;8,00;1.320,09;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
8675;42;MINERACAO TABOCA S A;34.019.992/0001-10;-00°43'24.700";-60°11'48.200";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;-;4,90;130.979,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
8774;444 (A-3);MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'18.326";-60°04'33.114";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;14,70;1.150.000,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Ativa;Não Embargada
8421;5 (MAC);VALE S.A.;33.592.510/0001-54;-19°58'37.512";-43°53'34.810";Sul do Equador;NOVA LIMA;MG;Minério de Ferro;83,05;13.983.755,99;2 - Alteamento a jusante;Médio;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Inativa;Desembargada
8525;5 (Mutuca);VALE S.A.;33.592.510/0001-54;-20°01'34.413";-43°56'33.225";Sul do Equador;NOVA LIMA;MG;Minério de Ferro;55,00;9.771.474,42;2 - Alteamento a jusante;Médio;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Ativa;Desembargada
9629;6;VALE S.A.;33.592.510/0001-54;-19°57'36.000";-43°52'58.000";Sul do Equador;NOVA LIMA;MG;-;21,60;74.930,41;0 - Etapa única;Médio;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Em descaracterização (projeto/obras/monitoramento);Desembargada
8676;68-1;MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'25.500";-60°12'05.100";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;-;6,00;3.752,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
8677;69;MINERACAO TABOCA S A;34.019.992/0001-10;-00°44'35.500";-60°12'05.100";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;-;5,00;84.941,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
8678;75-1;MINERACAO TABOCA S A;34.019.992/0001-10;-00°45'41.600";-60°12'21.500";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;-;4,00;75.522,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
9630;7a;VALE S.A.;33.592.510/0001-54;-19°57'56.000";-43°53'07.000";Sul do Equador;NOVA LIMA;MG;-;37,67;93,94;0 - Etapa única;Alto;Alto;B;Sim;Nível de Emergência 1;1º Campanha 2026 - Não Atestado;Não Atestado;Campanha 2025 - Atestado;Em descaracterização (projeto/obras/monitoramento);Embargada
8422;7B;VALE S.A.;33.592.510/0001-54;-19°58'02.514";-43°52'58.725";Sul do Equador;NOVA LIMA;MG;-;31,36;204.921,96;0 - Etapa única;Médio;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Inativa;Não Embargada
8995;803.285/2014;PLINIO ALMEIDA BOSON & CIA LTDA;11.714.784/0001-36;-09°14'09.800";-42°34'41.200";Sul do Equador;SÃO LOURENÇO DO PIAUÍ;PI;Saibro;1,00;500,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
8679;81-1;MINERACAO TABOCA S A;34.019.992/0001-10;-00°47'00.000";-60°11'36.500";Sul do Equador;PRESIDENTE FIGUEIREDO;AM;Minério de Estanho Primário;4,70;3.311.822,00;0 - Etapa única;Alto;Alto;B;Sim;Nível de Emergência 1;1º Campanha 2026 - Não Atestado;Não Atestado;Campanha 2025 - Atestado;Inativa;Embargada
8383;A - PDE Nordeste;VALE S.A.;33.592.510/0001-54;-19°56'55.421";-43°35'12.119";Sul do Equador;BARÃO DE COCAIS;MG;-;7,25;300,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
9353;Água Fria ;Topazio Imperial Mineração Comercio e Industria Ltda;16.857.294/0001-02;-20°26'50.670";-43°38'37.760";Sul do Equador;OURO PRETO;MG;Aluvião com Gemas;34,00;2.100.000,00;10 - Alteamento a montante;Alto;Alto;B;Sim;Nível de Emergência 1;1º Campanha 2026 - Não Atestado;Atestado;Extraordinária ou Exigência de Fiscalização - Não Atestado;Em descaracterização (projeto/obras/monitoramento);Embargada
9661;Agua Limpa;Mineração Germinal Ltda;23.183.486/0001-46;-21°05'02.170";-44°34'36.666";Sul do Equador;SÃO TIAGO;MG;-;10,00;177.067,00;0 - Etapa única;Alto;Médio;B;Sim;Nível de Emergência 1;1º Campanha 2026 - Não Enviado;Atestado;-;Em descaracterização (projeto/obras/monitoramento);Embargada
8458;Alain II;ALAIN STEPHANE RIVIERE MINERACAO;15.264.439/0001-07;-16°15'18.000";-56°36'55.000";Sul do Equador;POCONÉ;MT;Areia;19,00;844.440,00;5 - Alteamento por linha de centro;Médio;Médio;B;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;-;Em descaracterização (projeto/obras/monitoramento);Desembargada
8311;Alcindo Vieira;VALE S.A.;33.592.510/0001-54;-19°34'28.232";-43°14'46.628";Sul do Equador;ITABIRA;MG;-;24,00;612.595,95;2 - Alteamento a jusante;Baixo;Baixo;B;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;-;Em descaracterização (projeto/obras/monitoramento);Não Embargada
9037;Alemães;GERDAU ACOMINAS S/A;17.227.422/0001-05;-20°25'23.060";-43°45'09.780";Sul do Equador;OURO PRETO;MG;Minério de Ferro;61,00;3.362.251,32;2 - Alteamento a jusante;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Ativa;Não Embargada
8276;Alto Jacutinga;VALE S.A.;33.592.510/0001-54;-20°25'33.600";-43°53'09.500";Sul do Equador;CONGONHAS;MG;-;12,55;114.910,00;5 - Alteamento por linha de centro;Médio;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Extraordinária ou Exigência de Fiscalização - Atestado;Em descaracterização (projeto/obras/monitoramento);Não Embargada
9639;Alvo Crente;ALTA FLORESTA GOLD MINERACAO LTDA;17.580.707/0001-17;-09°22'46.850";-56°33'52.000";Sul do Equador;PARANAÍTA;MT;;0;0,00;Indefinido;Baixo;Baixo;N/A;Não;Sem emergência;-; - ;-;Em Construção;Não Embargada
9632;Área IX;VALE S.A.;33.592.510/0001-54;-20°24'44.114";-43°52'43.867";Sul do Equador;OURO PRETO;MG;Minério de Ferro;13,01;1.350.000,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Em descaracterização (projeto/obras/monitoramento);Embargada
9229;Area M;CBE COMPANHIA BRASILEIRA DE EQUIPAMENTO - EM RECUPERACAO JUDICIAL Filial: CBE COMPANHIA BRASILEIRA DE EQUIPAMENTO - EM RECUPERACAO JUDICIAL;27.184.936/0007-61;-04°31'24.900";-44°00'57.700";Sul do Equador;CODÓ;MA;Calcário;6,00;2.839.200,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Inativa;Não Embargada
9676;ARENAL;COOPERATIVA DE MINERADORES E GARIMPEIROS DA REGIAO DE ARIPUANA - COOPEMIGA;36.084.594/0001-03;-10°07'16.390";-59°28'21.150";Sul do Equador;ARIPUANÃ;MT;Minério de Ouro Primário;5,00;125.764,57;2 - Alteamento a jusante;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
10547;Árica;MINERACAO ARICA LTDA;14.684.662/0001-32;-15°33'40.450";-55°48'36.670";Sul do Equador;CUIABÁ;MT;;0;0,00;Indefinido;Baixo;Baixo;N/A;Não;Sem emergência;-; - ;-;Em Construção;Não Embargada
8193;Azul;VALE S.A.;33.592.510/0001-54;-06°04'41.300";-50°17'29.300";Sul do Equador;PARAUAPEBAS;PA;Minério de Manganês;32,00;19.469.460,00;2 - Alteamento a jusante;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Em descaracterização (projeto/obras/monitoramento);Não Embargada
9101;B;VALE S.A.;33.592.510/0001-54;-20°07'27.900";-43°55'30.800";Sul do Equador;NOVA LIMA;MG;-;45,00;841.897,18;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Inativa;Desembargada
8934;B1;NACIONAL DE GRAFITE LTDA;21.228.861/0001-00;-20°26'39.200";-45°08'00.700";Sul do Equador;ITAPECERICA;MG;Xisto;12,00;55.000,00;2 - Alteamento a jusante;Baixo;Baixo;N/A;Não;Sem emergência;-; - ;-;Em descaracterização (projeto/obras/monitoramento);Não Embargada
9125;B1;MINERACAO PARAGOMINAS S.A. Filial: MINERACAO PARAGOMINAS S.A.;12.094.570/0004-10;-03°15'54.986";-47°45'11.400";Sul do Equador;PARAGOMINAS;PA;Bauxita Grau Metalúrgico;31,80;21.100.000,00;5 - Alteamento por linha de centro;Baixo;Alto;AA;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Ativa;Não Embargada
9122;B1;VALDINEI MAURO DE SOUZA;***;-16°08'21.600";-56°23'45.600";Sul do Equador;NOSSA SENHORA DO LIVRAMENTO;MT;Minério de Ouro Primário;19,13;2.298.586,03;2 - Alteamento a jusante;Médio;Médio;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;-;Ativa;Não Embargada
8935;B2;NACIONAL DE GRAFITE LTDA;21.228.861/0001-00;-20°26'24.200";-45°07'55.200";Sul do Equador;ITAPECERICA;MG;Xisto;13,00;798.178,00;2 - Alteamento a jusante;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Em descaracterização (projeto/obras/monitoramento);Não Embargada
8366;B3;VALE S.A.;33.592.510/0001-54;-19°52'43.139";-43°22'41.690";Sul do Equador;SÃO GONÇALO DO RIO ABAIXO;MG;-;18,00;299.167,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Ativa;Desembargada
8936;B4;NACIONAL DE GRAFITE LTDA;21.228.861/0001-00;-20°26'16.300";-45°08'54.300";Sul do Equador;ITAPECERICA;MG;Xisto;42,00;999.714,00;5 - Alteamento por linha de centro;Baixo;Alto;B;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Em descaracterização (projeto/obras/monitoramento);Não Embargada
8699;B4;ITAMINAS COMERCIO DE MINERIOS SA;18.752.824/0001-83;-20°05'23.640";-44°06'01.760";Sul do Equador;SARZEDO;MG;Minério de Ferro;95,00;1.857.693,49;5 - Alteamento por linha de centro;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Em descaracterização (projeto/obras/monitoramento);Embargada
9127;B5;MINERACAO PARAGOMINAS S.A. Filial: MINERACAO PARAGOMINAS S.A.;12.094.570/0004-10;-03°16'30.000";-47°44'10.800";Sul do Equador;PARAGOMINAS;PA;-;37,00;12.237.239,00;2 - Alteamento a jusante;Baixo;Baixo;AA;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Extraordinária ou Exigência de Fiscalização - Atestado;Ativa;Não Embargada
8686;B5;VERMELHAO MINERACAO INDUSTRIA E COMERCIO LTDA;16.857.492/0001-76;-20°24'08.254";-43°32'10.773";Sul do Equador;OURO PRETO;MG;-;26,40;223.840,00;0 - Etapa única;Baixo;Baixo;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;-;Em descaracterização (projeto/obras/monitoramento);Desembargada
8982;B5;EUROMAQUINAS MINERACAO LTDA;19.882.154/0001-82;-14°32'13.600";-59°46'12.880";Sul do Equador;NOVA LACERDA;MT;Minério de Ouro Primário;13,00;2.494.069,83;5 - Alteamento por linha de centro;Baixo;Médio;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Ativa;Desembargada
9128;B6;MINERACAO PARAGOMINAS S.A. Filial: MINERACAO PARAGOMINAS S.A.;12.094.570/0004-10;-03°15'34.180";-47°45'29.400";Sul do Equador;PARAGOMINAS;PA;-;13,00;545.365,00;0 - Etapa única;Baixo;Alto;AA;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Ativa;Não Embargada
8216;B6;VALE S.A.;33.592.510/0001-54;-20°03'29.700";-43°57'50.700";Sul do Equador;NOVA LIMA;MG;-;18,86;173.849,00;0 - Etapa única;Baixo;Médio;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;-;Ativa;Não Embargada
8217;B7;VALE S.A.;33.592.510/0001-54;-20°03'40.100";-43°57'40.800";Sul do Equador;NOVA LIMA;MG;-;24,00;69.808,00;2 - Alteamento a jusante;Baixo;Médio;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;-;Em descaracterização (projeto/obras/monitoramento);Não Embargada
9091;Bacia 01;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°47'05.000";-43°11'31.300";Sul do Equador;BELA VISTA DE MINAS;MG;-;9,00;1.000,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9272;Bacia 02-03 Alto da Serra Mn;LHG MINING CORUMBA S.A;03.327.988/0001-96;-19°11'26.914";-57°37'00.111";Sul do Equador;CORUMBÁ;MS;Minério de Manganês;10,08;9.479,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9164;Bacia 05 Alto da Serra;LHG MINING CORUMBA S.A;03.327.988/0001-96;-19°11'30.625";-57°36'49.613";Sul do Equador;CORUMBÁ;MS;Minério de Ferro;11,69;5.662,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9092;Bacia 07;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°46'59.200";-43°10'59.200";Sul do Equador;BELA VISTA DE MINAS;MG;-;7,00;500,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9093;Bacia 08;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°47'05.900";-43°10'48.600";Sul do Equador;BELA VISTA DE MINAS;MG;-;7,00;5.000,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9094;Bacia 09;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°46'37.840";-43°11'21.930";Sul do Equador;BELA VISTA DE MINAS;MG;-;7,00;2.200,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9062;Bacia 1 A;ARTEMYN RIO CAPIM CAULIM LTDA.;16.532.798/0001-52;-01°34'24.398";-48°45'10.378";Sul do Equador;BARCARENA;PA;Caulim;10,80;858.000,00;2 - Alteamento a jusante;Médio;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Em descaracterização (projeto/obras/monitoramento);Desembargada
9063;Bacia 1 B;ARTEMYN RIO CAPIM CAULIM LTDA.;16.532.798/0001-52;-01°34'27.000";-48°45'01.800";Sul do Equador;BARCARENA;PA;Caulim;10,80;260.000,00;2 - Alteamento a jusante;Médio;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Em descaracterização (projeto/obras/monitoramento);Desembargada
9095;Bacia 15;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°46'34.733";-43°11'27.772";Sul do Equador;BELA VISTA DE MINAS;MG;-;5,00;2.200,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9096;Bacia 16;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°47'09.952";-43°10'22.069";Sul do Equador;BELA VISTA DE MINAS;MG;-;12,00;12.000,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9097;Bacia 17;ARCELORMITTAL BRASIL S.A.;17.469.701/0001-77;-19°47'01.777";-43°09'54.766";Sul do Equador;BELA VISTA DE MINAS;MG;-;8,00;3.500,00;0 - Etapa única;Médio;Baixo;N/A;Não;Sem emergência;-; - ;-;Ativa;Não Embargada
9287;Bacia 17;SERABI MINERACAO S.A.;04.207.303/0001-30;-06°19'30.340";-55°47'10.880";Sul do Equador;ITAITUBA;PA;Minério de Ouro Primário;26,00;26.877,49;0 - Etapa única;Baixo;Baixo;B;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Extraordinária ou Exigência de Fiscalização - Atestado;Ativa;Desembargada
9064;Bacia 2;ARTEMYN RIO CAPIM CAULIM LTDA.;16.532.798/0001-52;-01°34'23.000";-48°45'20.000";Sul do Equador;BARCARENA;PA;Caulim;15,00;1.374.000,00;2 - Alteamento a jusante;Médio;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Em descaracterização (projeto/obras/monitoramento);Desembargada
9065;Bacia 3;ARTEMYN RIO CAPIM CAULIM LTDA.;16.532.798/0001-52;-01°34'14.200";-48°45'25.300";Sul do Equador;BARCARENA;PA;Caulim;9,00;494.994,77;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Ativa;Desembargada
9067;Bacia 5 A;ARTEMYN RIO CAPIM CAULIM LTDA.;16.532.798/0001-52;-01°34'51.250";-48°44'59.222";Sul do Equador;BARCARENA;PA;Caulim;13,50;510.000,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Em descaracterização (projeto/obras/monitoramento);Desembargada
9068;Bacia 5 B;ARTEMYN RIO CAPIM CAULIM LTDA.;16.532.798/0001-52;-01°34'52.827";-48°45'04.708";Sul do Equador;BARCARENA;PA;Caulim;10,00;270.000,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Em descaracterização (projeto/obras/monitoramento);Desembargada
9069;Bacia 5 C;ARTEMYN RIO CAPIM CAULIM LTDA.;16.532.798/0001-52;-01°35'02.400";-48°44'56.100";Sul do Equador;BARCARENA;PA;Caulim;8,50;767.000,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Em descaracterização (projeto/obras/monitoramento);Desembargada
9070;Bacia 6 A;ARTEMYN RIO CAPIM CAULIM LTDA.;16.532.798/0001-52;-01°34'58.000";-48°44'49.400";Sul do Equador;BARCARENA;PA;Caulim;6,00;503.496,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Inativa;Desembargada
9741;Bacia 6B;ARTEMYN RIO CAPIM CAULIM LTDA.;16.532.798/0001-52;-01°34'49.000";-48°44'51.400";Sul do Equador;BARCARENA;PA;Caulim;15,88;888.477,88;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Ativa;Não Embargada
8267;Bacia A;CARBONIFERA METROPOLITANA S/A;83.647.917/0001-00;-28°29'31.600";-49°27'37.000";Sul do Equador;TREVISO;SC;Carvão Mineral Camada Bonito;5,30;17.700,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Ativa;Desembargada
8268;Bacia B;CARBONIFERA METROPOLITANA S/A;83.647.917/0001-00;-28°29'38.900";-49°27'36.100";Sul do Equador;TREVISO;SC;Carvão Mineral Camada Bonito;6,50;17.900,00;0 - Etapa única;Baixo;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Ativa;Desembargada
9074;Bacia B 1;PARA PIGMENTOS S A;33.931.510/0001-31;-02°50'00.500";-47°54'29.000";Sul do Equador;IPIXUNA DO PARÁ;PA;-;13,00;270.000,00;0 - Etapa única;Médio;Alto;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;Campanha 2025 - Atestado;Em descaracterização (projeto/obras/monitoramento);Desembargada
9181;Bacia B-9;VETRIA MINERACAO S.A.;10.228.340/0001-28;-19°15'55.000";-57°31'35.800";Sul do Equador;CORUMBÁ;MS;Minério de Ferro;5,25;5.895,00;0 - Etapa única;Baixo;Médio;A;Sim;Sem emergência;1º Campanha 2026 - Atestado;Atestado;-;Ativa;Não Embargada
8860;Bacia de Acumulação 01;CARBONIFERA SIDEROPOLIS LTDA;83.852.137/0001-00;-28°27'13.000";-49°22'13.000";Sul do Equador;URUSSANGA;SC;Carvão Mineral Camada Barro Branco;7,10;117.757,76;0 - Etapa única;Alto;Alto;B;Sim;Nível de Emergência 1;1º Campanha 2026 - Atestado;Não Enviado;Campanha 2025 - Não Enviado;Inativa;Embargada
